countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
BRA,2023,,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2022,215313498.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2021,214326223.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2020,213196304.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2019,211782878.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2018,210166592.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2017,208504960.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2016,206859578.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2015,205188205.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2014,203459650.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2013,201721767.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2012,199977707.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2011,198185302.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2010,196353492.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2009,194517549.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2008,192672317.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2007,190779453.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2006,188820682.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2005,186797334.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2004,184722043.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2003,182629278.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2002,180476685.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2001,178211881.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,2000,175873720.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,1999,173486281.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,1998,171039804.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,1997,168546707.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,1996,166037122.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,1995,163515328.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,1994,160980472.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,1993,158440875.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
BRA,1992,155900790.0,,,0,SP.POP.TOTL,Population total,BR,Brazil
